Tempo(ms),Leitura(ECG)
8,719
16,681
23,662
31,661
39,659
46,662
54,670
61,680
69,688
77,697
84,705
92,712
100,718
111,732
119,720
127,705
134,753
142,869
150,906
157,792
165,483
173,412
180,445
188,467
195,477
203,478
334,625
341,647
349,661
357,674
364,704
372,736
379,771
387,798
395,825
402,848
410,874
418,885
425,902
446,951
454,968
462,987
469,1009
477,1028
485,1048
492,1057
500,1065
508,1079
515,1092
523,1097
531,1101
538,1105
546,1108
553,1109
561,1110
569,1112
576,1108
584,1107
592,1105
599,1102
607,1095
615,1087
622,1078
630,1076
637,1077
645,1077
653,1083
660,1076
670,1068
678,1053
686,1041
693,1033
701,1024
708,1013
716,1003
724,999
731,994
739,990
747,988
754,982
762,979
770,976
777,973
785,975
792,966
800,1012
930,901
952,890
959,888
967,883
975,881
982,877
990,873
997,874
1005,873
1013,872
1021,870
1028,863
1036,855
1043,843
1051,830
1059,814
1066,797
1074,780
1082,764
1089,747
1097,736
1104,725
1112,719
1120,715
1127,708
1135,709
1143,707
1150,708
1158,711
1166,713
1173,714
1181,716
1188,718
1196,718
1204,718
1214,720
1221,713
1229,708
1237,705
1244,708
1252,707
1259,711
1267,710
1275,707
1282,709
1290,709
1298,714
1305,724
1313,735
1321,742
1328,748
1471,1029
1479,1099
1486,998
1494,719
1502,675
1509,715
1517,755
1524,777
1532,785
1540,798
1548,804
1555,811
1563,819
1570,819
1578,822
1586,827
1593,831
1601,834
1609,837
1616,843
1624,848
1631,852
1639,857
1647,863
1654,874
1662,882
1670,890
1677,898
1685,899
1693,895
1700,890
1708,881
1715,866
1723,856
1731,843
1741,824
1748,803
1756,788
1764,781
1771,776
1779,771
1786,768
1794,773
1802,780
1809,783
1817,786
1947,821
1955,820
1976,816
1984,820
1991,818
1999,816
2007,810
2014,800
2022,792
2029,786
2037,780
2045,771
2052,762
2060,759
2068,760
2075,756
2083,755
2091,753
2098,752
2106,750
2114,752
2121,760
2129,753
2136,801
2144,923
2152,1044
2159,1014
2167,801
2175,622
2182,656
2190,697
2198,726
2205,728
2213,738
2220,751
2228,757
2236,761
2243,764
2251,769
2259,774
2269,775
2276,771
2284,773
2291,776
2299,782
2307,792
2314,803
2322,811
2452,797
2459,798
2480,803
2488,807
2496,812
2504,817
2511,821
2519,828
2526,834
2534,839
2542,841
2549,844
2557,848
2565,850
2572,845
2580,845
2587,847
2595,846
2603,843
2610,840
2618,836
2626,836
2633,836
2641,843
2649,851
2656,857
2664,861
2671,864
2679,858
2687,855
2694,852
2702,849
2710,839
2717,837
2725,837
2733,834
2740,833
2748,834
2755,833
2763,835
2771,833
2778,834
2786,838
2796,863
2804,952
2811,1091
