Tempo (ms);Valor
1320732;14797
1320741;14565
1320749;14541
1320757;14241
1320765;14291
1320773;14006
1320783;14067
1320791;13777
1320799;13905
1320807;14273
1320815;13107
1320824;9337
1320832;5882
1320840;6807
1320848;14275
1320856;15565
1320865;15099
1320873;14374
1320881;14271
1320889;13888
1320897;13769
1320905;13572
1320914;13563
1320922;13402
1320930;13373
1320938;13281
1320946;13259
1320955;13127
1320963;13073
1320971;12982
1320979;12857
1320987;12717
1320996;12562
1321004;12398
1321015;12249
1321023;11957
1321031;11966
1321040;11787
1321048;11982
1321056;11966
1321064;12247
1321072;12365
1321081;12821
1321089;13073
1321098;13549
1321106;13759
1321114;14095
1321123;14130
1321131;14295
1321139;14260
1321147;14336
1321155;14289
1321164;14335
1321172;14271
1321180;14280
1321188;14184
1321196;14095
1321204;14037
1321213;13998
1321221;14000
1321229;13937
1321237;13916
1321245;13882
1321254;13909
1321262;13861
1321270;13914
1321278;13869
1321286;13970
1321298;14084
1321306;14040
1321314;14040
1321322;13802
1321330;13738
1321339;13527
1321347;13590
1321355;13549
1321363;13650
1321371;13608
1321380;13688
1321388;13707
1321396;13881
1321405;13907
1321413;13951
1321422;13904
1321430;13887
1321438;13870
1321446;13795
1321454;13709
1321463;14050
1321471;13985
1321479;11599
1321487;7645
1321495;5371
1321503;10423
1321512;15556
1321520;15587
1321528;14801
1321536;14520
1321544;14216
1321553;14066
1321561;13795
1321569;13814
1321609;15049
1321617;14883
1321625;14261
1321634;14094
1321642;13590
1321650;13469
1321658;12956
1321666;12824
1321674;12339
1321683;12220
1321691;11811
1321700;11940
1321708;11730
1321716;11968
1321725;11928
1321733;12338
1321741;12449
1321749;12975
1321757;13118
1321766;13576
1321774;13631
1321782;13918
1321790;13829
1321798;13989
1321807;13842
1321815;13971
1321823;13811
1321831;13888
1321839;13730
1321848;13788
1321856;13641
1321864;13690
1321872;13571
1321880;13648
1321892;13585
1321900;13800
1321908;13606
1321916;13783
1321924;13585
1321933;13791
1321941;13627
1321949;13802
1321957;13590
1321965;13777
1321974;13606
1321982;13727
1321990;13420
1321998;13493
1322006;13325
1322014;13475
1322024;13317
1322032;13512
1322040;13464
1322048;13709
1322056;13698
1322065;13872
1322073;13790
1322081;13917
1322089;13845
1322097;13928
1322106;13794
1322114;13810
1322122;14330
1322130;13694
1322138;10616
1322147;6867
1322155;6005
1322163;13011
1322174;15966
1322182;15571
1322191;14784
1322199;14740
1322207;14314
1322215;14291
1322223;14020
1322232;14046
1322240;13777
1322248;13800
1322256;13558
1322264;13591
1322273;13389
1322281;13400
1322289;13206
1322297;13229
1322305;13013
1322313;12914
1322322;12647
1322330;12522
1322338;12234
1322346;12117
1322355;12005
1322364;12079
1322372;12121
1322380;12279
1322388;12487
1322396;12818
1322405;13210
1322413;13596
1322421;13955
1322429;14178
1322437;14351
1322446;14401
1322454;14470
1322465;14580
1322473;14483
1322481;14559
1322490;14330
1322498;14363
1322506;14184
1322514;14224
1322522;14049
1322531;14054
1322539;13931
1322547;13955
1322555;13880
1322563;13956
1322572;13889
1322580;13934
1322588;13939
1322596;14004
1322604;13985
1322612;13981
1322621;13944
1322629;13779
1322637;13691
1322645;13601
1322653;13607
1322662;13543
1322670;13649
1322679;13683
1322687;13837
1322695;13870
1322704;13951
1322712;13859
1322720;13951
1322728;13883
1322736;13977
1322748;14021
1322756;13914
1322764;14078
1322772;14337
1322780;12583
1322789;8821
1322797;6167
1322805;8940
1322813;15825
1322821;16005
1322830;15273
1322838;14601
1322846;14329
1322854;14090
1322862;13791
1322871;13661
1322879;13520
1322887;13504
1322895;13380
1322903;13349
1322911;13206
1322920;13208
1322928;13029
1322936;12970
1322944;12738
1322952;12711
1322961;12483
1322969;12386
1322977;12040
1322985;11969
1322993;11721
1323003;11792
1323011;11659
1323019;11860
1323029;12102
1323037;12397
1323046;12765
1323055;13156
1323063;13486
1323071;13743
1323079;13908
1323088;14055
1323096;14113
1323104;14185
1323112;14133
1323120;14153
1323129;14022
1323137;14007
1323145;13868
1323153;13925
1323161;13795
1323170;13853
1323178;13704
1323186;13789
1323194;13671
1323202;13783
1323210;13650
1323219;13777
1323227;13649
1323235;13804
1323243;13643
1323251;13799
1323260;13633
1323268;13802
1323276;13638
1323284;13755
1323292;13429
1323301;13424
1323312;13341
1323320;13497
1323328;13517
1323336;13556
1323345;13574
1323353;13708
1323361;13786
1323370;13895
1323378;13765
1323387;13803
1323395;13678
1323403;13739
1323411;13573
1323419;13614
1323428;13871
1323436;13902
1323444;11324
1323452;7352
1323460;4851
1323469;9934
1323477;15261
1323485;15468
1323493;14651
1323501;14420
1323510;14081
1323518;14013
1323526;13715
1323534;13852
1323542;13635
1323550;13758
1323559;13489
1323567;13598
1323575;13335
1323583;13455
1323591;13233
1323603;13325
1323611;13173
1323619;13065
1323627;12700
1323635;12576
1323644;12200
1323652;12103
1323660;11848
1323668;11962
1323676;11895
1323685;12124
1323693;12195
1323702;12639
1323710;12900
1323718;13462
1323727;13663
1323735;14056
1323743;14046
1323751;14298
1323759;14202
1323768;14404
1323776;14210
1323784;14377
1323792;14146
1323800;14237
1323809;14005
1323817;14168
1323825;13926
1323833;14074
1323841;13907
1323849;14078
1323858;13887
1323866;14011
1323874;13841
1323885;14054
1323894;13940
1323902;14102
1323910;13952
1323918;14120
1323926;13979
1323934;14101
1323943;13900
1323951;13875
1323959;13581
1323967;13788
1323975;13642
1323984;13848
1323992;13660
1324000;13857
1324008;13780
1324017;14121
1324026;14010
1324034;14188
1324042;13990
1324050;14150
1324058;13945
1324067;14069
1324075;13826
1324083;14109
1324091;14284
1324099;12652
1324108;8480
1324116;5413
1324124;7810
1324132;15071
1324140;15699
1324148;15240
1324157;14572
1324168;14527
1324176;14196
1324184;14231
1324193;13951
1324201;14014
1324209;13742
1324217;13813
1324225;13559
1324233;13612
1324242;13289
1324250;13297
1324258;12985
1324266;13030
1324274;12690
1324283;12685
1324291;12306
1324299;12229
1324307;11882
1324315;11931
1324324;11752
1324332;11946
1324341;11876
1324349;12225
1324357;12369
1324366;12856
1324374;13145
1324382;13687
1324390;13846
1324398;14197
1324407;14228
1324415;14421
1324423;14349
1324431;14476
1324439;14356
1324451;14502
1324459;14356
1324467;14432
1324475;14185
1324483;14296
1324492;14047
1324500;14174
1324508;13961
1324516;14097
1324524;13895
1324532;14006
1324541;13818
1324549;13956
1324557;13748
1324565;13919
1324573;13737
1324582;13875
1324590;13699
1324598;13827
1324606;13689
1324614;13732
1324623;13516
1324631;13445
1324639;13271
1324647;13384
1324655;13323
1324665;13409
1324673;13303
1324681;13478
1324689;13489
1324697;13667
1324706;13593
1324714;13654
1324722;13621
1324733;13794
1324741;13625
1324750;13678
1324758;13435
1324766;14254
1324774;13039
1324782;9756
1324791;5800
1324799;6052
1324807;13274
1324815;15722
1324823;15132
1324831;14650
1324840;14310
1324848;14231
1324856;13936
1324864;13983
1324872;13824
1324881;13898
1324889;13755
1324897;13774
1324905;13660
1324913;13664
1324922;13524
1324930;13539
1324938;13376
1324946;13257
1324954;13063
1324963;12886
1324971;12613
1324979;12379
1324988;12182
1324996;12075
1325005;12084
1325013;12161
1325023;12303
1325031;12669
1325040;12820
1325049;13324
1325057;13553
1325065;13979
1325073;14086
1325081;14385
1325090;14390
1325098;14528
1325106;14471
1325114;14547
1325122;14412
1325130;14474
1325139;14356
1325147;14346
1325155;14246
1325163;14255
1325171;14183
1325180;14169
1325188;14045
1325196;13982
1325204;13932
1325212;13885
1325221;13902
1325229;13891
1325237;13889
1325245;13827
1325253;13857
1325262;13789
1325270;13871
1325278;13799
1325286;13828
1325294;13729
1325306;13806
1325314;13903
1325322;13695
1325330;13624
1325338;13476
1325347;13560
1325355;13489
1325364;13595
1325372;13561
1325380;13691
1325389;13754
1325397;13830
1325405;13825
1325413;13846
1325421;13809
1325430;13807
1325438;13812
1325446;13742
1325454;13699
1325462;14192
1325470;13766
1325479;10923
1325487;7111
1325495;5705
1325503;11931
1325511;15776
1325520;15514
1325528;14689
1325536;14443
1325544;14174
1325552;14064
1325561;13803
1325569;13877
1325577;13691
1325588;13698
1325596;13728
1325605;13577
1325613;13521
1325621;13398
1325629;13274
1325637;13159
1325646;13026
1325654;12843
1325662;12650
1325670;12435
1325679;12154
1325688;11964
1325696;11815
1325704;11858
1325712;11905
1325720;12119
1325729;12247
1325737;12624
1325745;12901
1325753;13368
1325761;13609
1325769;14009
1325778;14116
1325786;14356
1325794;14317
1325802;14494
1325810;14355
1325819;14507
1325827;14380
1325835;14504
1325843;14313
1325851;14371
1325860;14163
1325871;14249
1325879;14272
1325887;14230
1325895;14158
1325904;14161
1325912;14092
1325920;14113
1325928;14054
1325936;14089
1325945;14010
1325953;14079
1325961;13961
1325969;14008
1325977;13868
1325986;13955
1325994;13825
1326003;13965
1326011;13807
1326019;13910
1326028;13680
1326036;13724
1326044;13441
1326052;13555
1326060;13425
1326068;13552
1326077;13398
1326085;13584
1326093;13484
1326101;13743
1326109;13630
1326118;13769
1326126;13601
1326134;13774
1326142;13562
1326153;13671
1326162;13596
1326170;13829
1326178;14062
1326186;12304
1326194;8345
1326203;5750
1326211;8655
1326219;15391
1326227;15635
1326235;15075
1326244;14326
1326252;14220
1326260;13809
1326268;13712
1326276;13423
1326285;13521
1326293;13297
1326301;13358
1326309;13123
1326317;13233
1326326;12994
1326335;13114
1326343;12881
1326351;12934
1326359;12631
1326367;12661
1326376;12245
1326384;12197
1326392;11787
1326400;11810
1326408;11557
1326417;11796
1326425;11709
1326433;12009
1326444;12233
1326452;12755
1326461;12986
1326469;13497
1326477;13665
1326485;14059
1326493;14043
1326502;14307
1326510;14200
